ID,Name,Resume,Cover Letter,Student,University,Availability,Employment Type,Email,Phone
25,Applicant 25,https://drive.google.com/resume_25,Cover Letter 25,Yes,PQR Institute,Summer,Part Time,applicant25@example.com,+1-281-104-6199
26,Applicant 26,https://drive.google.com/resume_26,Cover Letter 26,No,LMN University,Summer,Part Time,applicant26@example.com,+1-123-693-8341
27,Applicant 27,https://drive.google.com/resume_27,Cover Letter 27,Yes,PQR Institute,Summer,Coop/Internship,applicant27@example.com,+1-899-550-1664
28,Applicant 28,https://drive.google.com/resume_28,Cover Letter 28,Yes,XYZ College,Winter,Part Time,applicant28@example.com,+1-249-442-3608
29,Applicant 29,https://drive.google.com/resume_29,Cover Letter 29,Yes,University of ABC,Fall,Coop/Internship,applicant29@example.com,+1-377-214-4444
30,Applicant 30,https://drive.google.com/resume_30,Cover Letter 30,Yes,PQR Institute,Winter,Part Time,applicant30@example.com,+1-412-219-9849
31,Applicant 31,https://drive.google.com/resume_31,Cover Letter 31,Yes,PQR Institute,Summer,Full Time,applicant31@example.com,+1-147-185-4895
32,Applicant 32,https://drive.google.com/resume_32,Cover Letter 32,No,XYZ College,Summer,Coop/Internship,applicant32@example.com,+1-336-833-1530
33,Applicant 33,https://drive.google.com/resume_33,Cover Letter 33,Yes,PQR Institute,Summer,Part Time,applicant33@example.com,+1-980-196-6684
34,Applicant 34,https://drive.google.com/resume_34,Cover Letter 34,No,XYZ College,Summer,Coop/Internship,applicant34@example.com,+1-506-534-8847
35,Applicant 35,https://drive.google.com/resume_35,Cover Letter 35,Yes,University of ABC,Winter,Coop/Internship,applicant35@example.com,+1-604-532-5716
36,Applicant 36,https://drive.google.com/resume_36,Cover Letter 36,Yes,EFG Tech,Summer,Part Time,applicant36@example.com,+1-130-555-1830
37,Applicant 37,https://drive.google.com/resume_37,Cover Letter 37,Yes,PQR Institute,Fall,Part Time,applicant37@example.com,+1-678-143-8235
38,Applicant 38,https://drive.google.com/resume_38,Cover Letter 38,No,XYZ College,Fall,Coop/Internship,applicant38@example.com,+1-191-312-7555
39,Applicant 39,https://drive.google.com/resume_39,Cover Letter 39,No,PQR Institute,Winter,Full Time,applicant39@example.com,+1-312-542-9287
40,Applicant 40,https://drive.google.com/resume_40,Cover Letter 40,No,XYZ College,Winter,Coop/Internship,applicant40@example.com,+1-626-933-7383
41,Applicant 41,https://drive.google.com/resume_41,Cover Letter 41,No,LMN University,Summer,Part Time,applicant41@example.com,+1-879-820-7419
42,Applicant 42,https://drive.google.com/resume_42,Cover Letter 42,Yes,PQR Institute,Winter,Full Time,applicant42@example.com,+1-857-921-1006
43,Applicant 43,https://drive.google.com/resume_43,Cover Letter 43,No,LMN University,Winter,Coop/Internship,applicant43@example.com,+1-642-764-3298
44,Applicant 44,https://drive.google.com/resume_44,Cover Letter 44,Yes,LMN University,Winter,Full Time,applicant44@example.com,+1-983-356-8881
45,Applicant 45,https://drive.google.com/resume_45,Cover Letter 45,No,EFG Tech,Fall,Full Time,applicant45@example.com,+1-772-217-2730
46,Applicant 46,https://drive.google.com/resume_46,Cover Letter 46,No,University of ABC,Summer,Coop/Internship,applicant46@example.com,+1-620-127-1412
47,Applicant 47,https://drive.google.com/resume_47,Cover Letter 47,Yes,EFG Tech,Winter,Part Time,applicant47@example.com,+1-527-286-8450
48,Applicant 48,https://drive.google.com/resume_48,Cover Letter 48,Yes,EFG Tech,Summer,Full Time,applicant48@example.com,+1-625-996-3156
49,Applicant 49,https://drive.google.com/resume_49,Cover Letter 49,Yes,PQR Institute,Fall,Full Time,applicant49@example.com,+1-358-697-3318
50,Applicant 50,https://drive.google.com/resume_50,Cover Letter 50,No,University of ABC,Winter,Coop/Internship,applicant50@example.com,+1-622-488-3742
